Ароа;-9.017;146.800
Арона;-6.300;146.017
Ароре-Айленд;-2.616111;176.802500
Арсо;-2.917;140.783
Арсук;61.183333;-48.416667
Артигас;-30.400706;-56.507869
Аруа;3.050;30.917
Аруша;-3.367794;36.633333
Асак;38.681478;29.471675
Асапа;-8.967;148.100
Асау;-13.505778;-172.627972
Асахикава;43.670833;142.447500
Асеки;-7.350;146.183
Асела;7.967;39.117
Асирим;-5.867;150.367
Аскеншн;-15.717;-63.100
Аскона;46.157778;8.781944
Асоса;10.018550;34.586253
Аспен;39.223167;-106.868861
Астана;51.022222;71.466944
Астрахань;46.283333;48.006278
Астурия;43.563567;-6.034622
Асуан;23.964356;32.819975
Асьют;27.046508;31.011983
Атак;14.551322;46.826183
Атауро;-8.267;125.602
Атбара;17.709722;34.056944
Атбасар;51.851667;68.363333
Ати;13.238889;18.313333
Аткамба;-6.050;141.083
Атоифи;-8.873333;161.011389
Аттопью;14.800;106.833
Атырау;47.121944;51.821389
Афины;33.948595;-83.326347
Афион;38.726425;30.601114
Афоре;-9.133;148.383
Ахваз;31.337431;48.761950
Ахмедабад;23.077242;72.634650
Ахуас;15.472222;-84.352222
Ахутупо;9.183;-78.017
Ачинск;56.268333;90.570833
Ашбертон;-43.903333;171.796667
Аэропорт Брюсселя;50.901389;4.484444
Аэропорт Гамбурга;53.630389;9.988228
Аэропорт Ланчжоу;36.117;103.617
Аяваси;-1.133;132.467
Ба;-17.550;177.667
Бабо;-2.532242;133.438894
Баболсар;36.650;52.667
Баван;-6.400;146.900
Багдогра;26.681206;88.328567
Баглунг;28.212816;83.666328
Баде;-7.150;139.567
Баджава;-8.817;120.983
Баджханг;29.538960;81.185364
Базанкусу;1.224722;19.788889
Базонго;-4.317;20.433
Байбара;-10.333;149.633
Байдоа;3.101667;43.626944
Байндунг;-6.333;146.933
Байтади;29.465263;80.549156
Байя Маре;47.658389;23.470022
Бакау;46.521944;26.910278
Бакель;14.847256;-12.468264
Баккафьордур;66.021944;-14.824444
Баколод;10.642511;122.929617
Бакума;5.694;22.801
Балаково;51.858333;47.745556
Балале;-6.990556;155.885833
Балбоа;8.914794;-79.599633
Балер;15.729836;121.500133
Балимо;-8.050;142.933
Балтрум;53.726944;7.373055
Балургат;25.261667;88.795556
Балхаш;46.893333;75.005000
Балыкесир;39.619258;27.925958
Бамбари;5.846944;20.647500
Бамбури;-3.981944;39.730556
Бамерни;37.098750;43.266583
Бамиан;34.808622;67.818233
Бамо;24.269033;97.246153
Баму;-7.833;143.233
Банаина;2.750;117.050
Банбери;-33.378332;115.676667
Бангассу;4.785;22.781
Бандаберг;-24.903889;152.318611
Банданаира;-4.533;129.900
Бандар-Аббас;27.218317;56.377850
Бандар-Ленге;26.532000;54.824847
Бандирма;40.317972;27.977694
Бандунду;-3.311319;17.381683
Банну;32.967;70.533
Бантри;51.668889;-9.484444
Банфора;10.683;-4.717
Банфф;51.208333;-115.540278
Банц;-5.800;144.600
Баня-Лука;44.941444;17.297501
Баотоу;40.559999;109.996944
Баошань;25.051667;99.168056
Бапи;-7.733;147.017
Бар Харбор;44.449769;-68.361565
Баракоа;20.365317;-74.506206
Баракоа;9.284739;-74.846092
Баракома;-7.912778;156.706111
Барамита;7.417;-60.500
Барахона;18.251464;-71.120400
Бардера;2.330556;42.311667
Баринас;8.619575;-70.220825
Барисал;22.801031;90.301164
Баркисимето;10.042747;-69.358619
Барнаул;53.363775;83.538533
Барора;-7.983;157.567
Барра-Колорадо;10.767;-83.583
Барранкоминас;3.333;-70.317
Барселонетта;44.388333;6.610278
Барт;54.337540;12.699705
Бартика;6.417;-58.583
Баско;20.451322;121.979883
Бассейн;16.815233;94.779911
Бата;1.905469;9.805681
Батангафо;7.314167;18.308889
Батерст;47.629723;-65.738889
Батин;24.428333;54.458084
Батна;35.759167;6.322500
Батом;-2.283;139.600
Баттамбанг;13.095564;103.224408
Баттерворт;5.465917;100.391167
Баттерворт;-32.334;28.145
Бату-Личин;-3.412408;115.995136
Батуми;41.610278;41.599694
Батури;4.475000;14.362499
Баучи;10.294444;9.816667
Бахавалнагар;30.000;73.250
Бахавалпур;29.348100;71.717981
Бахар-Дар;11.608075;37.321644
Бахиа-Ангелес;28.978611;-113.560833
Бахоне;-17.167;37.950
Бахреган;29.840061;50.272697
Бахья-Купика;6.550;-77.333
Бахья-Солано;6.202936;-77.394800
Беаланана;-14.533;48.700
Беблинген;48.683;9.000
Бейда;14.133;46.550
Бейка;9.386389;34.521944
Беймуру;-7.483;144.800
Бейра;-19.796419;34.907556
Бейхан;14.781972;45.720083
Бекили;-24.236111;45.305000
Белгород;50.643764;36.590125
Беллависта;-7.060556;-76.582222
Белла-Елла;7.367;-9.983
Беллари;15.162783;76.882775
Белла-Юнион;-30.319167;-57.559444
Беллона;-11.302222;159.798056
Беллуно;46.166667;12.245278
Белльвиль;38.545167;-89.835194
Белмаллет;54.222778;-10.030833
Бело;-19.686667;44.541944
Белорецк;53.938056;58.340000
Бельбек;44.691666;33.576668
Бельмонте;-15.871694;-38.871917
Бельцы;47.838114;27.781475
Бемичи;7.700;-59.167
Бенгбу;32.847500;117.320278
Бенджина;-6.066200;134.273928
Бендиго;33.041289;-82.002690
Бени;0.575000;29.473889
Бенин-Сити;6.316981;5.599503
Бенсбах;-8.850;141.250
Беппу;33.300;131.533
Бербера;10.389167;44.941106
Берберати;4.221583;15.786369
Берд-Айленд;-3.724722;55.205278
Бердянск;46.815000;36.758056
Берейна;-8.633;146.500
Берлевог;70.871389;29.034167
Берлинский муниципальный аэропорт;44.575361;-71.175917
Бермехо;-22.773336;-64.312881
Беророха;-21.600;45.133
Бертонвуд;53.400;-2.633
Беру;-1.354722;176.006944
Бесалампи;-16.741945;44.481388
Беслан;43.205114;44.606642
Бету;3.050;18.500
Бефандриана;-15.200;48.483
Биавонке;-0.867;9.283
Биалла;-5.330556;151.007778
Биару;-7.667;146.350
Биг-Бей;-15.183;166.900
Биг-Крик;16.517;-88.400
Биг-Крик;57.666666666667;-157.58333333333
Биканер;28.070606;73.207161
Биласпур;21.988400;82.110983
Билдудалур;65.641389;-23.546111
Билифельд;51.964833;8.544833
Биллингс;45.807667;-108.542889
Биллунд;55.740322;9.151778
Бима;-8.539647;118.687322
Бимин;-5.283;142.017
Бинигуни;-9.633;149.300
Бинтуни;-2.100;133.517
Биратнагар;26.484167;87.264444
Бирджанд;32.898055;59.266111
Бискра;34.801667;5.741667
Бислиг;8.195950;126.321597
Бисмарк;46.772722;-100.745750
Битам;2.075638;11.493195
Биша;19.984350;42.620881
Бишо;-32.897150;27.279111
Бишоп;37.373111;-118.363611
Блуфилдс;11.990961;-83.774086
Блю-Лагун;-16.944;177.369
Блюменау;-26.830644;-49.090314
Боана;-6.417;146.817
Боанг;-3.383;153.267
Боганд;12.983;-0.167
Богашево;56.380278;85.208333
Бодинуму;-9.133;147.667
Бодо;67.269167;14.365278
Бозум;6.344167;16.321943
Боке;10.965833;-14.281111
Бокондини;-3.700;138.633
Бокоро;12.385278;17.070833
Боку;-6.533;155.333
Бол;43.285719;16.679718
Бол;13.443333;14.739444
Болаанг;0.933;124.167
Болзано;46.460194;11.326383
Боловип;-5.350;141.650
Большое Савино;57.914517;56.021214
Бома;-5.854;13.064
Бомай;-6.367;144.633
Бомонт Муни;30.070204;-94.215097
Бонго;-2.200;10.233
Бонгор;10.288056;15.381111
Бонтанг;0.117;117.467
Бонте;7.532222;-12.518611
Борба;-4.406342;-59.602369
Борго;11.160056;-4.330969
Бордуфос;69.055758;18.540356
Борж-Бажи-Мохтар;21.375000;0.923889
Борже;47.064453;2.378953
Бориди;-9.133;147.533
Борисполь;50.345000;30.894722
Борк Эль Араб;30.917669;29.696408
Боркум;53.595500;6.709167
Боссанга;6.492;17.429
Боссасо;11.275278;49.149444
Боссембеле;5.267;17.633
Бост;31.559017;64.364099
Ботопасье;4.217;-55.450
Ботсфьорд;70.600278;29.692500
Боэнде;-0.286;20.884
Брага;41.587058;-8.445139
Браганса;41.857800;-6.707125
Братск;56.370556;101.698331
Брауншвайг;52.319167;10.556111
Брахман;-5.733;145.367
Бремен;53.047500;8.786667
Бременхавен;53.507081;8.572878
Бремптон Айленд;-20.803;149.270
